"数据年月","商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","贸易方式编码","贸易方式名称","注册地编码","注册地名称","美元",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","103","孟加拉国","10","一般贸易","33","浙江省","140,525",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","103","孟加拉国","10","一般贸易","44","广东省","2,850",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","12","天津市","1,015",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","13","河北省","477,984",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","31","上海市","69,903",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","32","江苏省","965,430",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","33","浙江省","1,376,975",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","36","江西省","575,350",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","42","湖北省","2,644,633",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","10","一般贸易","43","湖南省","120,990",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","15","进料加工贸易","32","江苏省","152,826",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","15","进料加工贸易","45","广西壮族自治区","1,145,918",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","34","海关特殊监管区域物流货物","31","上海市","36",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","111","印度","39","其他","32","江苏省","333",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","32","江苏省","61,270",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","112","印度尼西亚","10","一般贸易","44","广东省","98,120",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","113","伊朗","10","一般贸易","31","上海市","32,205",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","113","伊朗","10","一般贸易","32","江苏省","11,654",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","113","伊朗","10","一般贸易","33","浙江省","322,240",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","113","伊朗","10","一般贸易","44","广东省","216,531",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","113","伊朗","10","一般贸易","61","陕西省","68,113",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","115","以色列","10","一般贸易","11","北京市","382",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","115","以色列","34","海关特殊监管区域物流货物","31","上海市","1",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","12","天津市","350",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","13","河北省","239,407",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","31","上海市","1,024,287",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","33","浙江省","313,798",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","10","一般贸易","51","四川省","10",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","15","进料加工贸易","31","上海市","32",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","116","日本","34","海关特殊监管区域物流货物","31","上海市","120,912",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","117","约旦","10","一般贸易","33","浙江省","3,070",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","122","马来西亚","10","一般贸易","37","山东省","11,685",
"202001","293349","其他含有一个喹啉或异喹啉环系的化合物","122","马来西亚","10","一般贸易","44","广东省","42,000",
